year_of_incident,watch,type_of_incident,type_location,type_of_property,incident_address,reporting_area,beat,division,council_district,date1_of_occurrence,year1_of_occurrence,month1_of_occurence,day1_of_the_week,time1_of_occurrence,day1_of_the_year,date2_of_occurrence,year2_of_occurrence,month2_of_occurence,day2_of_the_week,time2_of_occurrence,day2_of_the_year,date_of_report,date_incident_created,offense_entered_year,offense_entered_month,offense_entered_day_of_the_week,offense_entered_time,offense_entered_date_time,call_received_date_time,call_date_time,call_cleared_date_time,call_dispatch_date_time,person_involvement_type,victim_type,victim_race,victim_ethnicity,victim_gender,element_number_assigned,investigating_unit_1,investigating_unit_2,offense_status,ucr_disposition,modus_operandi_mo,family_offense,hate_crime,hate_crime_description,weapon_used,gang_related_offense,drug_related_istevencident,criminal_justice_information_service_code,penal_code,ucr_offense_name,ucr_offense_description,ucr_code,offense_type,nibrs_crime,nibrs_crime_category,nibrs_crime_against,nibrs_code,nibrs_group,nibrs_type,update_date,x_coordinate,y_cordinate,zip_code,city,state,location1
2019,2,THEFT OF PROP > OR EQUAL $100 <$750 (SHOPLIFT-NOT EMP) PC31.03(e2A),Shopping Mall,NA,8687 N CENTRAL EXPY,6012,654,NORTH CENTRAL,D13,2019-07-01T00:00:00Z,2019,July,Mon,11:22:00,182,2019-07-01T00:00:00Z,2019,July,Mon,11:27:00,182,2019-07-13T14:40:03Z,2019-07-13T15:10:39Z,2019,July,Sat,15:10:00,194,NA,NA,NA,NA,Victim,Individual,Hispanic or Latino,Hispanic or Latino,Male,NA,Investigations,Property Crime Division / NC Property Crimes,Clear by Arrest,CBEA (Over Age 17),NA,NA,NA,None,NA,No,NA,23990191,PC 31.03(e)(2)(A),NA,NA,NA,NA,SHOPLIFTING,LARCENY/ THEFT OFFENSES,PROPERTY,23C,A,Coded,2020-02-11T15:13:58Z,2499502.44952719,7002995.81717394,75225,DALLAS,NA,"8687 N CENTRAL EXPY
DALLAS 75225
(32.86875, -96.770691)"
2018,3,ABANDONED PROPERTY (NO OFFENSE),"Highway, Street, Alley ETC",N/A,1222 ANDERSON AVE,4076,431,SOUTHWEST,D6,2018-09-23T00:00:00Z,2018,September,Sun,23:04:00,266,2018-09-23T00:00:00Z,2018,September,Sun,23:04:00,266,2018-09-23T23:04:00Z,2018-09-23T23:54:27Z,2018,September,Sun,23:54:00,266,2018-09-23T23:04:42Z,2018-09-23T23:04:30Z,2018-09-24T01:32:20Z,2018-09-23T23:37:29Z,Victim,Government,NA,NA,NA,A445,Investigations,Special Investigations / Auto Theft,Suspended,Suspended,ABANDONED VEHICLES DUE TO FLOOD DAMAGE BLOCKING ROADWAY,FALSE,NA,None,NA,NA,No,99999999,No Violation,NA,NA,NA,NA,MISCELLANEOUS,MISCELLANEOUS,MISCELLANEOUS,999,C,999 - No Coded,2018-09-26T10:23:20Z,2455339.99552944,6961911.79730801,75211,DALLAS,TX,"1222 ANDERSON AVE
DALLAS, TX 75211
(32.75664, -96.916524)"
2021,1,CRIM MISCHIEF > OR EQUAL $100 < $750,Apartment Parking Lot,Motor Vehicle,10075 ROYAL LN,1055,246,NORTHEAST,D10,2021-08-30T00:00:00Z,2021,August,Mon,19:00:00,242,2021-08-31T00:00:00Z,2021,August,Tue,08:00:00,243,2021-08-31T09:29:00Z,2021-08-31T10:25:27Z,2021,August,Tue,10:25:00,243,2021-08-31T09:31:38Z,2021-08-31T09:29:50Z,2021-08-31T10:59:35Z,2021-08-31T10:18:26Z,Victim,Individual,Black,Non-Hispanic or Latino,Female,EX10,Investigations,Property Crime Division / NE Property Crimes,Suspended,Suspended,UNK SUSPECT CAUSED DAMAGE TO COMP VEHICLE,FALSE,NA,None,NA,NA,No,29990042,PC 28.03(b)(2),NA,NA,NA,NA,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,PROPERTY,290,A,Coded,2021-11-09T15:30:07Z,2516275.34421,7013470.87804,75238,DALLAS,TX,"10075 ROYAL LN
DALLAS, TX 75238
(32.894567, -96.715203)"
2019,1,POSS CONT SUB PEN GRP 2 < 1G,"Highway, Street, Alley ETC",N/A,770 ESTERINE RD,2218,338,SOUTHEAST,D5,2019-01-26T00:00:00Z,2019,January,Sat,07:20:00,26,2019-01-26T00:00:00Z,2019,January,Sat,07:20:00,26,2019-01-26T07:20:00Z,2019-01-26T07:52:30Z,2019,January,Sat,07:52:00,26,2019-01-26T07:20:43Z,2019-01-26T07:20:35Z,2019-01-26T10:48:58Z,2019-01-26T07:25:49Z,Victim,Society/Public,NA,NA,NA,A331,NA,NA,Clear by Arrest,CBA (Over Age 17),A/P HAD PILLS IN CLEAR BAGGIE IN HIS POCKET,FALSE,NA,None,NA,NA,Yes,35990019,HSC 481.116(b),NA,NA,NA,NA,DRUG/ NARCOTIC VIOLATIONS,DRUG/ NARCOTIC VIOLATIONS,SOCIETY,35A,A,Coded,2019-04-05T14:31:15Z,2537499.20752303,6942984.15931036,75217,DALLAS,TX,"770 ESTERINE RD
DALLAS, TX 75217
(32.70099, -96.650165)"
2018,1,BMV,Apartment Parking Lot,N/A,2819 N FITZHUGH AVE,2002,143,CENTRAL,D2,2018-03-29T00:00:00Z,2018,March,Thu,23:00:00,88,2018-03-30T00:00:00Z,2018,March,Fri,06:15:00,89,2018-03-30T06:55:00Z,2018-03-30T06:46:08Z,2018,March,Fri,06:46:00,89,2018-03-30T06:14:58Z,2018-03-30T06:14:56Z,2018-03-30T07:43:31Z,2018-03-30T06:33:14Z,Victim,Individual,Black,Non-Hispanic or Latino,Female,A151,NA,NA,Open,Open,"UNK SUSP(S) REMOVED LOCK FROM COMP VEH, TOOK PROP, FLED",FALSE,NA,None,NA,NA,No,22990004,PC 30.04(a),THEFT/BMV,THEFT,640,PART1,THEFT FROM MOTOR VEHICLE,LARCENY/ THEFT OFFENSES,PROPERTY,23F,A,Coded,2019-02-24T11:59:32Z,2494394.62936227,6983535.45845693,75204,DALLAS,TX,"2819 N FITZHUGH AVE
DALLAS, TX 75204
(32.81519, -96.787707)"
2018,2,ABANDONED PROPERTY (NO OFFENSE),"Highway, Street, Alley ETC",N/A,2310 CHAPORAL PL,4435,356,SOUTHEAST,D8,2018-03-04T00:00:00Z,2018,March,Sun,15:00:00,63,2018-03-04T00:00:00Z,2018,March,Sun,15:15:00,63,2018-03-04T15:30:00Z,2018-03-04T14:40:31Z,2018,March,Sun,14:40:00,63,2018-03-04T14:38:53Z,2018-03-04T14:38:53Z,2018-03-04T15:48:52Z,2018-03-04T14:38:53Z,Victim,Government,NA,NA,NA,D357,Investigations,Special Investigations / Auto Theft,Suspended,Suspended,"ABANDONED VEH, NO PLATES, VIN SCRATCHED OFF",FALSE,NA,None,NA,NA,No,99999999,No Violation,FOUND,FOUND PROPERTY,4300,NOT CODED,MISCELLANEOUS,MISCELLANEOUS,MISCELLANEOUS,999,C,999 - No Coded,2018-05-25T17:08:46Z,2555222.65829653,6928305.42587261,75253,DALLAS,TX,"2310 CHAPORAL PL
DALLAS, TX 75253
(32.659927, -96.593454)"
2019,1,CRIMINAL TRESPASS WARNING,Gas or Service Station,N/A,2950 W CAMP WISDOM RD,4360,744,SOUTH CENTRAL,D8,2019-05-16T00:00:00Z,2019,May,Thu,02:30:00,136,2019-05-16T00:00:00Z,2019,May,Thu,02:35:00,136,2019-05-16T03:26:00Z,2019-05-16T02:35:36Z,2019,May,Thu,02:35:00,136,2019-05-16T02:33:48Z,2019-05-16T02:33:48Z,2019-05-16T02:40:11Z,2019-05-16T02:33:48Z,Victim,Business,NA,NA,NA,E771,NA,NA,Suspended,Suspended,THE SUSP WAS ISSUED A CT WARNING,FALSE,NA,None,NA,NA,No,99999999,No Offense,NA,NA,NA,NA,MISCELLANEOUS,MISCELLANEOUS,MISCELLANEOUS,999,C,999 - No Coded,2019-05-16T09:11:37Z,2470849.71057294,6927599.97879268,75237,DALLAS,TX,"2950 W CAMP WISDOM RD
DALLAS, TX 75237
(32.662056, -96.867527)"
2021,3,"CRIM MISCHIEF >OR EQUAL $750 < $2,500",Apartment Parking Lot,Motor Vehicle,9728 FOREST LN,4424,256,NORTHEAST,D10,2021-05-27T00:00:00Z,2021,May,Thu,08:00:00,147,2021-05-30T00:00:00Z,2021,May,Sun,11:30:00,150,2021-05-30T12:26:00Z,2021-05-30T12:54:19Z,2021,May,Sun,12:54:00,150,2021-05-30T12:26:03Z,2021-05-30T12:26:03Z,2021-05-30T14:23:54Z,2021-05-30T12:34:03Z,Victim,Individual,Hispanic or Latino,Hispanic or Latino,Male,EX04,Investigations,Property Crime Division / NE Property Crimes,Suspended,Suspended,"UNKNOWN SUSPECT INTENTIONALLY SHOT AT VEHICLES,DAMAGING THEM",FALSE,NA,None,NA,NA,No,29990043,PC 28.03(b)(3)(A),NA,NA,NA,NA,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,PROPERTY,290,A,Coded,2022-04-22T10:10:29Z,2514340.63999511,7018420.49695444,75243,DALLAS,TX,"9728 FOREST LN
DALLAS, TX 75243
(32.909445, -96.721513)"
2020,3,CRIMINAL TRESPASS,Drug Store/Doctors Office/Hospital,Parking Lot,1306 N BECKLEY AVE,4093,411,SOUTHWEST,D1,2020-05-06T00:00:00Z,2020,May,Wed,19:25:00,127,2020-05-06T00:00:00Z,2020,May,Wed,19:30:00,127,2020-05-06T20:00:00Z,2020-05-06T19:59:51Z,2020,May,Wed,19:59:00,127,2020-05-06T19:30:05Z,2020-05-06T19:30:05Z,2020-05-06T20:41:52Z,2020-05-06T19:51:17Z,Victim,Business,NA,NA,NA,C410,Investigations,Property Crime Division / SW Property Crimes,Suspended,Suspended,SUSP CONTINUOUSLY RETURNS TO BUSINESS AND HARASSES THE CUSTOMERS,FALSE,NA,None,NA,NA,No,57070020,PC 30.05(D)(1),NA,NA,NA,NA,TRESPASS OF REAL PROPERTY,TRESPASS OF REAL PROPERTY,SOCIETY,90J,B,90J - No Coded,2020-05-13T15:15:46Z,2484210.24323502,6963331.89945468,75203,DALLAS,TX,"1306 N BECKLEY AVE
DALLAS, TX 75203
(32.759371, -96.822869)"
2020,1,"THEFT OF PROP > OR EQUAL $750 <$2,500 (NOT SHOPLIFT) PC31.03(e3)",Commercial Property Occupied/Vacant,Commercial Property Occupied/Vacant,3068 FOREST LN,4550,553,NORTHWEST,D13,2020-08-30T00:00:00Z,2020,August,Sun,22:53:00,243,2020-08-31T00:00:00Z,2020,August,Mon,01:48:00,244,2020-08-31T01:48:00Z,2020-08-31T02:35:49Z,2020,August,Mon,02:35:00,244,2020-08-31T01:48:43Z,2020-08-31T01:48:42Z,2020-08-31T04:00:46Z,2020-08-31T02:07:35Z,Victim,Individual,White,Non-Hispanic or Latino,Female,A544,Investigations,Property Crime Division / NW Property Crimes,Suspended,Suspended,UNK SUSP TOOK PERSONAL PROPERTIES FROM COMP W/O CONSENT,FALSE,NA,None,NA,NA,UNK,23990193,PC 31.03(e)(3),NA,NA,NA,NA,ALL OTHER LARCENY,LARCENY/ THEFT OFFENSES,PROPERTY,23H,A,Coded,2021-02-05T13:02:14Z,2467604.70393962,7017463.42504969,75234,DALLAS,TX,"3068 FOREST LN
DALLAS, TX 75234
(32.909629, -96.87358)"
2019,3,CRIM MISCHIEF > OR EQUAL $100 < $750,Single Family Residence - Occupied,N/A,3335 MUNGER AVE,2016,154,CENTRAL,D14,2019-06-26T00:00:00Z,2019,June,Wed,22:00:00,177,2019-06-26T00:00:00Z,2019,June,Wed,22:00:00,177,2019-06-26T22:08:00Z,2019-06-26T23:08:00Z,2019,June,Wed,23:08:00,177,2019-06-26T22:08:32Z,2019-06-26T22:08:32Z,2019-06-27T00:39:34Z,2019-06-26T22:51:16Z,Victim,Individual,Black,Non-Hispanic or Latino,Female,A144,Investigations,Property Crime Division / CE Property Crimes,Suspended,Suspended,SUSP KICKED AND DAMAGED COMP'S DOOR,FALSE,NA,None,NA,NA,No,29990042,PC 28.03(b)(2),NA,NA,NA,NA,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,PROPERTY,290,A,Coded,2019-08-01T14:26:54Z,2493698.30332711,6977287.99687052,75204,DALLAS,TX,"3335 MUNGER AVE
DALLAS, TX 75204
(32.797328, -96.790577)"
2018,2,ALARM INCIDENT REPORT (NO OFFENSE),Condominium/Townhome Building,N/A,5609 LEWIS ST,1164,144,CENTRAL,D14,2018-09-14T00:00:00Z,2018,September,Fri,11:50:00,257,2018-09-14T00:00:00Z,2018,September,Fri,11:51:00,257,2018-09-14T11:55:00Z,2018-09-14T12:06:47Z,2018,September,Fri,12:06:00,257,2018-09-14T11:55:20Z,2018-09-14T11:55:12Z,2018-09-14T13:34:43Z,2018-09-14T11:57:55Z,Victim,Government,NA,NA,NA,B131,NA,NA,Suspended,Suspended,FALSE ALARM,FALSE,NA,None,NA,NA,No,99999999,Alarm- No Offense,NA,NA,NA,NA,MISCELLANEOUS,MISCELLANEOUS,MISCELLANEOUS,999,C,999 - No Coded,2018-09-14T13:46:50Z,2500267.76787844,6982858.89091244,75206,DALLAS,TX,"5609 LEWIS ST
DALLAS, TX 75206
(32.812153, -96.768788)"
2021,2,BMV,Apartment Complex/Building,NA,14100 MONTFORT DR,1009,632,NORTH CENTRAL,D11,2021-04-10T00:00:00Z,2021,April,Sat,09:05:00,100,2021-04-10T00:00:00Z,2021,April,Sat,10:05:00,100,2021-04-10T10:30:48Z,2021-04-10T11:10:09Z,2021,April,Sat,11:10:00,100,NA,NA,NA,NA,Victim,Individual,White,Non-Hispanic or Latino,Male,NA,Investigations,Property Crime Division / NC Property Crimes,Suspended,Suspended,NA,NA,NA,None,NA,No,NA,22990004,PC 30.04(a),NA,NA,NA,NA,THEFT FROM MOTOR VEHICLE,LARCENY/ THEFT OFFENSES,PROPERTY,23F,A,Coded,2021-04-19T13:50:10Z,2485985.95851561,7029435.99690501,75254,DALLAS,NA,"14100 MONTFORT DR
DALLAS 75254
(32.94092, -96.81408)"
2016,1,BMV,"Highway, Street, Alley ETC",N/A,13979 SKYFROST DR,6062,357,SOUTHEAST,D8,2016-07-12T00:00:00Z,2016,July,Tue,20:00:00,194,2016-07-13T00:00:00Z,2016,July,Wed,05:40:00,195,2016-07-13T05:59:00Z,2016-07-13T08:04:01Z,2016,July,Wed,08:04:00,195,2016-07-13T05:59:29Z,2016-07-13T05:59:28Z,2016-07-13T09:09:01Z,2016-07-13T07:39:42Z,Victim,Individual,Hispanic or Latino,Non-Hispanic or Latino,Male,B334,NA,NA,Suspended,Suspended,UNKNOWN SUSPECT ENTERED VEHICLE TOOK PROPERTY,FALSE,NA,None,Other,No,No,22990004,PC 30.04(a),THEFT/BMV,THEFT,640,PART1,NA,NA,NA,NA,NA,NA,2016-07-19T13:36:20Z,2560028.23267485,6939176.3293276,75253,DALLAS,TX,"13979 SKYFROST DR
DALLAS, TX 75253
(32.689204, -96.576969)"
2020,1,ASSAULT (AGG) -SERIOUS BODILY INJURY,Bar/NightClub/DanceHall ETC.,Outdoor Area Public/Private,5645 SMU BLVD,1116,141,CENTRAL,D14,2020-02-22T00:00:00Z,2020,February,Sat,02:15:00,53,2020-02-22T00:00:00Z,2020,February,Sat,02:17:00,53,2020-02-22T02:19:00Z,2020-02-22T03:15:14Z,2020,February,Sat,03:15:00,53,2020-02-22T02:19:21Z,2020-02-22T02:19:21Z,2020-02-22T10:26:41Z,2020-02-22T02:46:11Z,Victim,Individual,White,Non-Hispanic or Latino,Male,A146,Investigations,Capers / Assaults,Clear by Arrest,CBA (Over Age 17),AP HIT COMP IN THE FACE AND BROKE COMP NOSE,FALSE,NA,None,Personal Weapons (Hands-Feet ETC),UNK,No,13150004,PC 22.02(a)(1),NA,NA,NA,NA,AGG ASSAULT - NFV,ASSAULT OFFENSES,PERSON,13A,A,Coded,2021-01-14T11:51:17Z,2499553.44647244,6993763.7319636,75206,DALLAS,TX,"5645 SMU BLVD
DALLAS, TX 75206
(32.841992, -96.770697)"
2017,3,FOUND PROPERTY (NO OFFENSE),Business Office,N/A,5609 ALPHA RD,1013,635,NORTH CENTRAL,D11,2017-02-04T00:00:00Z,2017,February,Sat,22:45:00,35,2017-02-04T00:00:00Z,2017,February,Sat,23:10:00,35,2017-02-04T23:10:00Z,2017-02-05T00:39:21Z,2017,February,Sun,00:39:00,36,2017-02-04T23:11:02Z,2017-02-04T23:10:55Z,2017-02-05T01:25:17Z,2017-02-04T23:53:04Z,Victim,Government,NA,NA,NA,A624,NA,NA,Suspended,Suspended,FOUND PROPERTY,FALSE,NA,None,Other,No,No,99999999,No Offense,FOUND,FOUND PROPERTY,4300,NOT CODED,MISCELLANEOUS,MISCELLANEOUS,MISCELLANEOUS,999,C,999 - No Coded,2017-02-06T05:52:32Z,2486699.92395119,7026604.73025785,75240,DALLAS,TX,"5609 ALPHA RD
DALLAS, TX 75240
(32.932883, -96.81086)"
2021,3,DOG BITE - INJURED PERSON,"Highway, Street, Alley ETC",N/A,14900 LASATER RD,6062,357,SOUTHEAST,D8,2021-05-17T00:00:00Z,2021,May,Mon,22:03:00,137,2021-05-17T00:00:00Z,2021,May,Mon,23:39:00,137,2021-05-17T23:39:00Z,2021-05-17T23:02:59Z,2021,May,Mon,23:02:00,137,2021-05-17T22:03:19Z,2021-05-17T22:03:16Z,2021-05-18T01:06:00Z,2021-05-17T22:46:38Z,Victim,Individual,White,Non-Hispanic or Latino,Male,F356,NA,NA,Suspended,Suspended,OWNER BIT BY DOG,FALSE,NA,None,NA,NA,No,99999999,HSC 822.005(b),NA,NA,NA,NA,MISCELLANEOUS,MISCELLANEOUS,MISCELLANEOUS,999,C,999 - No Coded,2021-05-22T07:25:21Z,2564223.07664736,6939841.79354785,75253,DALLAS,TX,"14900 LASATER RD
DALLAS, TX 75253
(32.692324, -96.562298)"
2019,3,ASSAULT -BODILY INJURY ONLY,Apartment Residence,N/A,6836 SHADY BROOK LN,4529,215,NORTHEAST,D13,2019-04-19T00:00:00Z,2019,April,Fri,18:50:00,109,2019-04-19T00:00:00Z,2019,April,Fri,19:00:00,109,2019-04-19T19:00:00Z,2019-04-19T19:49:58Z,2019,April,Fri,19:49:00,109,2019-04-19T19:00:49Z,2019-04-19T19:00:49Z,2019-04-19T20:30:52Z,2019-04-19T19:15:43Z,Victim,Individual,Hispanic or Latino,Hispanic or Latino,Male,E264,Investigations,Capers / Assaults,Suspended,Suspended,SUSP STRUCK COMP WITH A BROOM TO THE FACE,FALSE,NA,None,Other,UNK,No,13990001,PC 22.01(a)(1),NA,NA,NA,NA,SIMPLE ASSAULT,ASSAULT OFFENSES,PERSON,13B,A,Coded,2019-05-21T18:35:39Z,2501793.62145403,7003725.29635802,75231,DALLAS,TX,"6836 SHADY BROOK LN
DALLAS, TX 75231
(32.86991, -96.762893)"
2020,1,"CRIM MISCHIEF >OR EQUAL $750 < $2,500",Single Family Residence - Occupied,N/A,8424 GLEN REGAL DR,1029,251,NORTHEAST,D10,2020-07-21T00:00:00Z,2020,July,Tue,00:50:00,203,2020-07-21T00:00:00Z,2020,July,Tue,13:00:00,203,2020-07-26T11:44:00Z,2020-07-26T11:44:47Z,2020,July,Sun,11:44:00,208,2020-07-26T10:32:58Z,2020-07-26T10:32:58Z,2020-07-26T12:57:26Z,2020-07-26T11:21:16Z,Victim,Individual,Black,Non-Hispanic or Latino,Male,D333,Investigations,Property Crime Division / NE Property Crimes,Suspended,Suspended,SUSP BROKE WINDOWS TO COMPS HOME,FALSE,NA,None,NA,NA,No,29990043,PC 28.03(b)(3)(A),NA,NA,NA,NA,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,PROPERTY,290,A,Coded,2020-07-31T10:27:43Z,2503641.6223512,7022001.70567127,75243,DALLAS,TX,"8424 GLEN REGAL DR
DALLAS, TX 75243
(32.919996, -96.755895)"
2016,3,CRIM MISCHIEF >OR EQUAL $100 BUT <$750,Convenience Store,N/A,11441 SHILOH RD,1130,227,NORTHEAST,D9,2016-10-28T00:00:00Z,2016,October,Fri,20:40:00,302,2016-10-28T00:00:00Z,2016,October,Fri,20:47:00,302,2016-10-30T14:45:00Z,2016-10-30T14:26:42Z,2016,October,Sun,14:26:00,304,2016-10-30T13:14:31Z,2016-10-30T13:13:44Z,2016-10-30T15:30:35Z,2016-10-30T13:59:54Z,Victim,Individual,White,Non-Hispanic or Latino,Male,D215,Investigations,Property Crime Division / NE Property Crimes,Suspended,Suspended,CRIMINAL MISCHIEF,FALSE,NA,None,Other,No,No,29990016,PC 28.03(b)(2),VANDALISM & CRIM MISCHIEF,CRIMINAL MISCHIEF/VANDALISM,1400,PART2,NA,NA,NA,NA,NA,NA,2016-11-20T11:32:57Z,2531656.98561169,6997010.94889435,75228,DALLAS,TX,"11441 SHILOH RD
DALLAS, TX 75228
(32.850139, -96.66597)"
2020,1,BMV,Condominium/Townhome Parking,N/A,2986 PEAVY RD,1180,224,NORTHEAST,D7,2020-10-17T00:00:00Z,2020,October,Sat,21:00:00,291,2020-10-18T00:00:00Z,2020,October,Sun,10:00:00,292,2020-10-18T11:56:00Z,2020-10-18T10:24:23Z,2020,October,Sun,10:24:00,292,2020-10-18T10:22:58Z,2020-10-18T10:22:58Z,2020-10-18T12:36:46Z,2020-10-18T10:22:58Z,Victim,Individual,Hispanic or Latino,Hispanic or Latino,Female,B219,Investigations,Property Crime Division / NE Property Crimes,Suspended,Suspended,"SUSP BROKE COMP'S VEH WINDOW, ENTERED W/O CONSENT, TOOK PROP",FALSE,NA,None,NA,NA,No,22990004,PC 30.04(a),NA,NA,NA,NA,THEFT FROM MOTOR VEHICLE,LARCENY/ THEFT OFFENSES,PROPERTY,23F,A,Coded,2021-02-05T17:36:27Z,2526615.11511803,6982035.82661368,75228,DALLAS,TX,"2986 PEAVY RD
DALLAS, TX 75228
(32.810151, -96.683757)"
2018,1,CRIMINAL TRESPASS,Retail Store,N/A,3220 W DAVIS ST,4114,442,SOUTHWEST,D1,2018-07-14T00:00:00Z,2018,July,Sat,00:00:00,195,2018-07-14T00:00:00Z,2018,July,Sat,10:00:00,195,2018-07-14T10:10:00Z,2018-07-14T10:39:29Z,2018,July,Sat,10:39:00,195,2018-07-14T10:10:02Z,2018-07-14T10:10:02Z,2018-07-14T12:35:33Z,2018-07-14T10:14:41Z,Victim,Business,NA,NA,NA,B411,NA,NA,Clear by Arrest,CBA (Over Age 17),CRIMINAL TRESPASS ARREST.,FALSE,NA,None,NA,NA,No,57070010,PC 30.05(a),NA,NA,NA,NA,TRESPASS OF REAL PROPERTY,TRESPASS OF REAL PROPERTY,SOCIETY,90J,B,90J - No Coded,2018-08-24T15:32:01Z,2468516.6883361,6959371.92804393,75211,DALLAS,TX,"3220 W DAVIS ST
DALLAS, TX 75211
(32.74953, -96.873087)"
2018,2,BMV,Apartment Complex/Building,N/A,7899 FOREST LN,8822,651,NORTH CENTRAL,D11,2018-09-14T00:00:00Z,2018,September,Fri,09:00:00,257,2018-09-14T00:00:00Z,2018,September,Fri,11:00:00,257,2018-09-19T10:00:00Z,2018-09-19T09:58:56Z,2018,September,Wed,09:58:00,262,2018-09-19T07:28:33Z,2018-09-19T07:28:33Z,2018-09-19T13:13:07Z,2018-09-19T09:34:28Z,Victim,Individual,Black,Non-Hispanic or Latino,Male,B209,Investigations,Property Crime Division / NC Property Crimes,Suspended,Suspended,UNK SUSPECT ENTERED THE VICTIM VEHICLE AND STOLE PROPERTY.,FALSE,NA,None,NA,NA,No,22990004,PC 30.04(a),NA,NA,NA,NA,THEFT FROM MOTOR VEHICLE,LARCENY/ THEFT OFFENSES,PROPERTY,23F,A,Coded,2018-11-12T15:12:03Z,2499202.80084828,7018157.23895077,75251,DALLAS,TX,"7899 FOREST LN
DALLAS, TX 75251
(32.909349, -96.771027)"
2019,3,BMV - PRELIMINARY INVESTIGATION,Parking (Business),N/A,6969 MCCALLUM BLVD,4404,623,NORTH CENTRAL,D12,2019-01-26T00:00:00Z,2019,January,Sat,18:00:00,26,2019-01-26T00:00:00Z,2019,January,Sat,18:45:00,26,2019-02-02T12:19:00Z,2019-02-02T12:23:56Z,2019,February,Sat,12:23:00,33,2019-02-02T12:19:46Z,2019-02-02T12:19:46Z,2019-02-02T12:58:42Z,2019-02-02T12:19:46Z,Victim,Individual,White,Non-Hispanic or Latino,Female,B691,Investigations,Property Crime Division / NC Property Crimes,Suspended,Suspended,"NO FORCED ENTRY, OCCURRED 2 WEEKS AGO",FALSE,NA,None,NA,NA,No,99999999,BMV Investigation,NA,NA,NA,NA,MISCELLANEOUS,MISCELLANEOUS,MISCELLANEOUS,999,C,999 - No Coded,2019-02-15T10:17:28Z,2494872.45025703,7047092.67320576,75252,DALLAS,TX,"6969 MCCALLUM BLVD
DALLAS, TX 75252
(32.988012, -96.783332)"
2021,1,PUBLIC INTOXICATION,"Highway, Street, Alley ETC",N/A,2600 S BUCKNER BLVD,1243,324,SOUTHEAST,D5,2021-04-12T00:00:00Z,2021,April,Mon,04:00:00,102,2021-04-12T00:00:00Z,2021,April,Mon,04:11:00,102,2021-04-12T04:12:00Z,2021-04-12T04:17:04Z,2021,April,Mon,04:17:00,102,2021-04-12T04:12:47Z,2021-04-12T04:12:47Z,2021-04-12T07:57:07Z,2021-04-12T04:12:47Z,Victim,Society/Public,NA,NA,NA,F323,NA,NA,Clear by Arrest,CBA (Over Age 17),PUBLIC INTOXICATION,FALSE,NA,None,NA,NA,No,99999999,PC 49.02,NA,NA,NA,NA,PUBLIC INTOXICATION,PUBLIC INTOXICATION,SOCIETY,90Z,B,90Z - No Coded,2021-04-12T07:48:29Z,2527120.84278111,6962944.23618802,75227,DALLAS,TX,"2600 S BUCKNER BLVD
DALLAS, TX 75227
(32.756264, -96.682765)"
2019,3,LOST PROPERTY (NO OFFENSE),Bar/NightClub/DanceHall ETC.,N/A,2026 COMMERCE ST,2075,134,CENTRAL,D14,2019-03-30T00:00:00Z,2019,March,Sat,18:00:00,89,2019-03-31T00:00:00Z,2019,March,Sun,02:00:00,90,2019-03-31T18:04:00Z,2019-03-31T17:41:10Z,2019,March,Sun,17:41:00,90,2019-03-31T14:14:01Z,2019-03-31T14:13:59Z,2019-03-31T18:20:04Z,2019-03-31T17:23:26Z,Victim,Individual,Black,Non-Hispanic or Latino,Male,E583,NA,NA,Suspended,Suspended,LOST WALLET,FALSE,NA,None,NA,NA,No,99999999,No Offense,NA,NA,NA,NA,MISCELLANEOUS,MISCELLANEOUS,MISCELLANEOUS,999,C,999 - No Coded,2019-03-31T18:23:54Z,2493160.76995336,6971330.43135785,75201,DALLAS,TX,"2026 COMMERCE ST
DALLAS, TX 75201
(32.781242, -96.79284)"
2021,2,"CRIM MISCHIEF > OR EQUAL $2,500 < $30K",Apartment Parking Lot,NA,14900 LASATER RD,6062,357,SOUTHEAST,D8,2021-07-24T00:00:00Z,2021,July,Sat,07:35:00,205,2021-07-24T00:00:00Z,2021,July,Sat,08:34:00,205,2021-07-24T12:14:28Z,2021-07-24T12:35:20Z,2021,July,Sat,12:35:00,205,NA,NA,NA,NA,Victim,Individual,Hispanic or Latino,Hispanic or Latino,Female,NA,NA,NA,Suspended,Suspended,NA,NA,NA,None,NA,NA,NA,29990044,PC 28.03(b)(4)(A),NA,NA,NA,NA,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,PROPERTY,290,A,Coded,2021-08-24T11:13:30Z,2564223.07665,6939841.79355,75253,DALLAS,TX,"14900 LASATER RD
DALLAS, TX 75253
(32.692324, -96.562298)"
